STATENAME,VE_TOTAL,PEDS,PERSONS,DAYNAME,MONTHNAME,HOUR,DAY_WEEKNAME,RUR_URBNAME,HARM_EVNAME,LGT_CONDNAME,WEATHER1NAME,WEATHERNAME,FATALS,DRUNK_DR
Alabama,2,0,3,7,February,12,Thursday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,2,0,2,23,January,18,Wednesday,Urban,Motor Vehicle In-Transport,Dark - Not Lighted,Rain,Rain,1,0
Alabama,3,0,4,22,January,19,Tuesday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,1,1,22,January,3,Tuesday,Rural,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,18,January,5,Friday,Urban,Rollover/Overturn,Dark - Not Lighted,"Fog, Smog, Smoke","Fog, Smog, Smoke",1,1
Alabama,2,0,2,7,January,12,Monday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,5,2,January,9,Wednesday,Rural,Culvert,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,9,February,21,Saturday,Rural,Rollover/Overturn,Dark - Not Lighted,Clear,Clear,1,1
Alabama,1,0,1,8,February,7,Friday,Urban,Immersion or Partial Immersion,Daylight,Clear,Clear,1,0
Alabama,1,1,1,7,February,5,Thursday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,3,1,January,1,Tuesday,Rural,Tree (Standing Only),Dark - Not Lighted,Rain,Rain,1,1
Alabama,1,1,1,2,January,18,Wednesday,Rural,Pedestrian,Dark - Not Lighted,Rain,Rain,1,0
Alabama,1,1,1,4,January,21,Friday,Urban,Pedestrian,Dark - Lighted,Cloudy,Cloudy,1,0
Alabama,1,1,1,6,January,0,Sunday,Rural,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,7,January,4,Monday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,0
Alabama,3,0,3,7,January,14,Monday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,7,January,14,Monday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,7,January,22,Monday,Urban,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,7,January,13,Monday,Rural,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,1,0,1,8,January,1,Tuesday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,8,January,18,Tuesday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,10,January,6,Thursday,Rural,Tree (Standing Only),Dawn,Clear,Clear,1,0
Alabama,2,0,3,11,January,16,Friday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,1,11,January,13,Friday,Rural,Other Object (not fixed),Daylight,Clear,Clear,1,0
Alabama,3,0,3,11,January,7,Friday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,1,11,January,6,Friday,Rural,Curb,Daylight,Clear,Clear,1,0
Alabama,1,0,1,12,January,13,Saturday,Rural,Tree (Standing Only),Daylight,Cloudy,Cloudy,1,0
Alabama,4,0,4,12,January,16,Saturday,Urban,Motor Vehicle In-Transport,Daylight,Rain,Rain,2,1
Alabama,1,0,1,13,January,8,Sunday,Rural,Rollover/Overturn,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,14,January,1,Monday,Urban,Curb,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,2,15,January,17,Tuesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,15,January,12,Tuesday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,2,0,4,17,January,7,Thursday,Rural,Motor Vehicle In-Transport,Daylight,Rain,Rain,1,1
Alabama,2,0,2,17,January,8,Thursday,Rural,Motor Vehicle In-Transport,Daylight,Rain,Rain,1,0
Alabama,1,0,1,18,January,21,Friday,Urban,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,18,January,11,Friday,Rural,Embankment,Daylight,Clear,Clear,1,1
Alabama,1,0,1,18,January,11,Friday,Rural,Tree (Standing Only),Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,19,January,1,Saturday,Urban,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,20,January,19,Sunday,Urban,Other Object (not fixed),Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,20,January,22,Sunday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,1
Alabama,1,0,1,20,January,22,Sunday,Urban,Fence,Dark - Lighted,Clear,Clear,1,1
Alabama,2,0,3,20,January,13,Sunday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,2,0,7,20,January,12,Sunday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,21,January,16,Monday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,21,January,8,Monday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,22,January,4,Tuesday,Urban,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,1,2,22,January,4,Tuesday,Urban,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,22,January,22,Tuesday,Urban,Utility Pole/Light Support,Dark - Lighted,Rain,Rain,1,1
Alabama,1,0,1,23,January,17,Wednesday,Rural,Ditch,Dark - Not Lighted,Rain,Rain,1,0
Alabama,2,0,3,25,January,6,Friday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,1,2,26,January,18,Saturday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,4,26,January,12,Saturday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,2,27,January,6,Sunday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,1
Alabama,1,1,2,27,January,19,Sunday,Rural,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,3,29,January,20,Tuesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,2,1
Alabama,2,0,3,29,January,14,Tuesday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,29,January,5,Tuesday,Urban,Curb,Dark - Lighted,Rain,Rain,1,0
Alabama,1,0,3,30,January,1,Wednesday,Urban,Other Fixed Object,Dark - Lighted,Clear,Clear,1,1
Alabama,3,0,3,30,January,4,Wednesday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,30,January,13,Wednesday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,1,0,1,30,January,17,Wednesday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,30,January,17,Wednesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,31,January,17,Thursday,Rural,Mail Box,Dusk,Clear,Clear,1,1
Alabama,1,1,1,1,February,1,Friday,Urban,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,1,February,22,Friday,Rural,Rollover/Overturn,Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,2,0,2,4,February,9,Monday,Rural,Motor Vehicle In-Transport,Daylight,Rain,Rain,1,0
Alabama,1,0,1,5,February,5,Tuesday,Rural,Tree (Standing Only),Dark - Not Lighted,"Fog, Smog, Smoke","Fog, Smog, Smoke",1,0
Alabama,4,0,6,5,February,13,Tuesday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,3,6,February,12,Wednesday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,6,February,17,Wednesday,Urban,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,0,2,24,February,3,Sunday,Rural,Embankment,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,3,1,March,13,Friday,Urban,Parked Motor Vehicle,Daylight,Clear,Clear,1,0
Alabama,1,0,1,16,February,13,Saturday,Urban,Concrete Traffic Barrier,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,2,16,February,21,Saturday,Urban,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,1,4,January,16,Friday,Rural,Mail Box,Daylight,Cloudy,Cloudy,1,1
Alabama,2,0,1,15,January,10,Tuesday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,27,January,2,Sunday,Urban,Curb,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,2,28,January,3,Monday,Urban,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,1,1,6,February,17,Wednesday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,1,7,February,9,Thursday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,2,0,6,9,February,18,Saturday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,0
Alabama,2,1,2,10,February,18,Sunday,Rural,Pedestrian,Dark - Lighted,Rain,Rain,1,0
Alabama,2,0,2,14,February,8,Thursday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,2,15,February,16,Friday,Rural,Motor Vehicle In-Transport,Daylight,Rain,Rain,1,0
Alabama,1,0,1,15,February,13,Friday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,1
Alabama,2,0,2,16,February,6,Saturday,Rural,Motor Vehicle In-Transport,Dawn,Rain,Rain,2,0
Alabama,1,0,1,16,February,20,Saturday,Urban,Curb,Dark - Lighted,Clear,Clear,1,1
Alabama,3,1,7,17,February,19,Sunday,Urban,Pedestrian,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,2,0,6,17,February,18,Sunday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,19,February,12,Tuesday,Rural,Tree (Standing Only),Daylight,Rain,Rain,1,0
Alabama,1,0,1,20,February,4,Wednesday,Rural,Other Object (not fixed),Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,1,21,February,12,Thursday,Urban,Utility Pole/Light Support,Daylight,Rain,Rain,1,0
Alabama,1,1,1,22,February,12,Friday,Urban,Pedestrian,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,22,February,17,Friday,Rural,Rollover/Overturn,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,3,23,February,16,Saturday,Urban,Motor Vehicle In-Transport,Daylight,Rain,Rain,3,1
Alabama,1,0,1,23,February,1,Saturday,Urban,Utility Pole/Light Support,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,2,0,3,24,February,15,Sunday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,5,26,February,14,Tuesday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,28,February,13,Thursday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,1
Alabama,5,2,4,2,March,11,Saturday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,2,March,4,Saturday,Urban,Pedestrian,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,3,2,March,22,Saturday,Rural,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,1,3,March,0,Sunday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,3,March,1,Sunday,Urban,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,1,1,3,March,7,Sunday,Rural,Pedestrian,Dawn,"Fog, Smog, Smoke","Fog, Smog, Smoke",1,0
Alabama,1,0,1,4,March,19,Monday,Rural,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,2,0,2,4,March,15,Monday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,1,4,March,14,Monday,Rural,Fence,Daylight,Cloudy,Cloudy,1,0
Alabama,2,1,3,4,March,19,Monday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,2,0,2,6,March,14,Wednesday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,3,0,3,6,March,13,Wednesday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,2,0,2,8,March,5,Friday,Rural,Motor Vehicle In-Transport,Dawn,Cloudy,Cloudy,1,0
Alabama,1,0,1,8,March,14,Friday,Rural,Live Animal,Daylight,Clear,Clear,1,0
Alabama,2,0,3,6,March,22,Wednesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,9,March,10,Saturday,Rural,Embankment,Daylight,Clear,Clear,1,1
Alabama,1,0,3,10,March,4,Sunday,Rural,Tree (Standing Only),Daylight,Cloudy,Cloudy,1,1
Alabama,1,0,1,10,March,14,Sunday,Urban,Utility Pole/Light Support,Daylight,Clear,Clear,1,0
Alabama,1,0,1,11,March,0,Monday,Urban,Tree (Standing Only),Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,2,0,2,11,March,6,Monday,Rural,Motor Vehicle In-Transport,Dawn,Cloudy,Cloudy,1,0
Alabama,2,0,3,12,March,20,Tuesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,1,1,13,March,1,Wednesday,Rural,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,3,13,April,6,Saturday,Rural,Embankment,Daylight,Clear,Clear,1,0
Alabama,2,0,3,7,April,2,Sunday,Urban,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,6,7,April,12,Sunday,Urban,Ditch,Daylight,Clear,Clear,1,0
Alabama,2,2,1,5,April,5,Friday,Urban,Pedestrian,Dark - Not Lighted,Rain,Rain,1,0
Alabama,1,0,1,31,March,3,Sunday,Urban,Concrete Traffic Barrier,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,2,0,1,29,March,22,Friday,Urban,Parked Motor Vehicle,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,2,26,March,8,Tuesday,Urban,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,1,0,1,25,March,20,Monday,Rural,Bridge Rail (Includes parapet),Dark - Lighted,Cloudy,Cloudy,1,0
Alabama,2,0,3,23,March,0,Saturday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,21,March,1,Thursday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,2,20,March,2,Wednesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,19,March,7,Tuesday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,0,1,3,February,16,Sunday,Urban,Culvert,Daylight,Clear,Clear,1,0
Alabama,2,0,2,8,March,14,Friday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,3,16,March,13,Saturday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,17,March,23,Sunday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,2,18,March,6,Monday,Rural,Motor Vehicle In-Transport,Dawn,Cloudy,Cloudy,1,0
Alabama,2,0,3,21,March,20,Thursday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,1
Alabama,2,0,2,20,March,9,Wednesday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,3,21,March,21,Thursday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,0
Alabama,2,0,2,22,March,7,Friday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,2,22,March,3,Friday,Urban,Utility Pole/Light Support,Dark - Lighted,Clear,Clear,1,1
Alabama,2,0,2,22,March,8,Friday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
